מק""ט,"שם תחנה",רחוב,בית,"שם עיר","קו אורך","קו רוחב","סוג תחנה","תחנת קצה","כמות קווים עוצרים","% נסיעות מעבר","נסיעות מתחנה ליעד","עצירות יומי","עצירות 04:00-06:00","עצירות 06:00-09:00","עצירות 09:00-12:00","עצירות 12:00-15:00","עצירות 15:00-19:00","עצירות 19:00-24:00","עצירות 24:00-04:00","תיקופים יומי","תיקופים 04:00-06:00","תיקופים 06:00-09:00","תיקופים 09:00-12:00","תיקופים 12:00-15:00","תיקופים 15:00-19:00","תיקופים 19:00-24:00","תיקופים 24:00-04:00"
13557,"יהושע הצורף/יהודה הנחתום","יהושע הצורף",4,"באר שבע",34813377,31257753,"תחנה רגילה","קצה הורדה",10,9.102815979,1.338572364,278,4,49,50,52,66,51,6,59.625,0,4.208333333,5.708333333,12.541666667,29.666666667,7.25,0.25
10021,"יהושע הצורף","יהושע הצורף",9,"באר שבע",34814270,31257408,"תחנה רגילה","קצה עליה",10,11.068249258,1.279228487,269,1,31,47,53,73,60,4,184.4375,0,4.770833333,11.6875,43.541666667,101.229166667,23.208333333,0
13113,רינגלבלום/קלאוזנר,רינגלבלום,15,"באר שבע",34800285,31267531,"תחנה רגילה",רגילה,1,5.682715075,1.514206788,99,3,19,18,18,22,14,5,109.395833333,0.458333333,27.104166667,24.354166667,25.395833333,24.5,7.583333333,0
11226,"רינגלבלום/בנימין מטודלה",רינגלבלום,46,"באר שבע",34800403,31268001,"תחנה רגילה",רגילה,1,11.221122112,1.377887789,95,1,16,18,18,23,14,5,23.875,0.041666667,5.0625,4.104166667,5.770833333,6.791666667,2.104166667,0
19733,"בי""""ס תיכון מקיף ז/ההשכלה",ההשכלה,0,"באר שבע",34803358,31268950,"תחנה רגילה",רגילה,2,0.840336134,1.067226891,4,0,2,0,2,0,0,0,4.5,0,0.382352941,0,4.058823529,0,0.058823529,0
14454,"מרכז הספורט אוניברסיטת בן גוריון","שדרות אורי צבי גרינברג",0,"באר שבע",34806037,31261391,"תחנה רגילה",רגילה,6,41.405433647,1.053814002,271,5,44,49,48,68,55,2,269.5625,0,30.145833333,31.770833333,68.6875,94.208333333,44.291666667,0.458333333
13591,הדעת/המדע,הדעת,40,"באר שבע",34806063,31268377,"תחנה רגילה",רגילה,2,9.610983982,1.155606407,60,0,7,12,12,16,13,0,10.347826087,0,0.347826087,1.847826087,4.869565217,2.369565217,0.913043478,0
13781,"אורי צבי גרינברג/הדעת","שדרות אורי צבי גרינברג",0,"באר שבע",34808351,31266936,"תחנה רגילה",רגילה,4,10.901162791,1.3875,188,8,33,33,33,45,36,0,118.416666667,1.104166667,30.5,25.770833333,26.395833333,26.916666667,7.729166667,0
11986,הדעת/המדע,הדעת,0,"באר שבע",34806705,31267983,"תחנה רגילה",רגילה,2,5.020242915,1.385425101,119,4,22,21,21,29,22,0,25.565217391,0.173913043,6.673913043,7.173913043,5.913043478,4.108695652,1.52173913,0
11243,המדע/נויפלד,המדע,8,"באר שבע",34806705,31268819,"תחנה רגילה",רגילה,1,12.072892938,1.125284738,55,0,7,9,9,16,12,2,17.916666667,0,2.395833333,2.208333333,7.583333333,4.041666667,1.645833333,0.041666667
12672,"הדעת/אורי צבי גרינברג",הדעת,6,"באר שבע",34808120,31267728,"תחנה רגילה",רגילה,2,'-,'-,114,0,13,21,21,32,25,2,1.2,0.2,0,0,0.2,0.2,0.4,0.2
13695,"מקיף ז'/הדעת",הדעת,74,"באר שבע",34804243,31269805,"תחנה רגילה",רגילה,1,3.835145965,1.538637665,63,2,12,12,12,14,11,0,71.458333333,0.125,12.729166667,14.104166667,21.6875,18.3125,4.5,0
13593,"מקיף ז'/הדעת",הדעת,80,"באר שבע",34803921,31270551,"תחנה רגילה",רגילה,2,7.77027027,1.10472973,60,0,7,12,12,16,13,0,32.75,0,1.5,6.541666667,16.8125,6.270833333,1.625,0
13637,"בי""""ס רמות/הדעת",הדעת,98,"באר שבע",34803434,31273413,"תחנה רגילה",רגילה,2,6.417112299,1.144385027,60,0,7,12,12,16,13,0,9.3125,0,0.604166667,1.479166667,4.104166667,2.75,0.375,0
