קו,מפעיל,כיוון,חלופה,מקט,מוצא,יעד,תאור,אורך,"מספר תחנות","יציאות ביום ג","יציאות שבועיות",סוג,שרות,יחודיות,"סוג אוטובוס",שבת,נגיש,אשכול,מחוז,"מספר חלופה"
353,מטרו,1,2,10353,"תל אביב יפו","באר שבע","ת.מרכזית תל אביב קומה 6/רציפים - ת.מרכזית באר שבע/הורדה",124.6,77,'-,1,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8126
353,מטרו,2,#,10353,"באר שבע","תל אביב יפו","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית תל אביב קומה 6/הורדה",127.4,88,13,73,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8128
357,מטרו,1,#,10357,"מודיעין עילית",דימונה,"מסוף מודיעין עילית - יצחק שדה/האצל",150.9,38,'-,3,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11710
357,מטרו,2,#,10357,דימונה,"מודיעין עילית","יצחק שדה/האצל - בית הכנסת קרלין",155.9,57,'-,3,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11711
359,מטרו,1,#,10359,נתיבות,דימונה,"אחת עשרה נקודות/יצחק שמיר - יצחק שדה/האצל",102.5,63,6,34,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10256
359,מטרו,2,#,10359,דימונה,נתיבות,"יצחק שדה/האצל - דרכי רפאל/קהילת יעקב",102.1,57,5,29,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10257
359,מטרו,2,1,10359,ירוחם,נתיבות,"""ההגנה/הפלמ""""ח"" - דרכי רפאל/קהילת יעקב",82.4,39,1,5,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17962
361,"דן דרום",1,#,12361,אשקלון,"באר שבע","ת. מרכזית אשקלון/רציפים - ת.מרכזית באר שבע/הורדה",84.0,71,6,32,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16612
361,"דן דרום",2,#,12361,"באר שבע",אשקלון,"ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית אשקלון/הורדה",83.5,68,6,31,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16613
363,"דן דרום",1,#,11363,אשקלון,"באר שבע","ת. מרכזית אשקלון/רציפים - ת.מרכזית באר שבע/הורדה",71.5,63,13,79,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16544
363,"דן דרום",2,#,11363,"באר שבע",אשקלון,"ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית אשקלון/הורדה",70.9,62,13,80,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16545
364,"דן דרום",1,#,10364,אשקלון,"באר שבע","ת. מרכזית אשקלון/רציפים - ת.מרכזית באר שבע/הורדה",62.7,32,24,131,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,1875
364,"דן דרום",2,#,10364,"באר שבע",אשקלון,"ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית אשקלון/הורדה",62.1,34,21,116,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,1876
367,מטרו,1,#,11367,"ראשון לציון","באר שבע","""ת. מרכזית רשל""""צ/רציפים"" - ת.מרכזית באר שבע/הורדה",95.7,49,16,95,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8140
367,מטרו,2,#,11367,"באר שבע","ראשון לציון","ת.מרכזית באר שבע/רציפים בינעיר - ""ת. מרכזית ראשל""""צ""",94.1,47,14,85,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8141
368,מטרו,1,#,10368,אשדוד,"באר שבע","ת. מרכזית אשדוד/רציפים - ת.מרכזית באר שבע/הורדה",81.1,27,11,61,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8145
368,מטרו,2,#,10368,"באר שבע",אשדוד,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית אשדוד",81.2,27,14,77,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8148
369,מטרו,1,#,10369,"תל אביב יפו","באר שבע","ת.מרכזית תל אביב קומה 6/רציפים - ת.מרכזית באר שבע/הורדה",118.1,35,35,211,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8151
369,מטרו,1,2,10369,"תל אביב יפו","באר שבע","ת.מרכזית תל אביב קומה 6/רציפים - ת.מרכזית באר שבע/הורדה",117.3,42,6,49,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8153
369,מטרו,1,4,10369,"באר טוביה","באר שבע","צומת מלאכי - ת.מרכזית באר שבע/הורדה",62.7,25,2,10,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8155
369,מטרו,2,#,10369,"באר שבע","תל אביב יפו","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית תל אביב קומה 6/הורדה",116.3,35,36,212,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8162
369,מטרו,2,2,10369,"באר שבע","תל אביב יפו","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית תל אביב קומה 6/הורדה",116.3,40,4,32,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8164
370,מטרו,1,#,11370,"תל אביב יפו","באר שבע","ת.מרכזית תל אביב קומה 6/רציפים - ת.מרכזית באר שבע/הורדה",106.4,6,32,219,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8170
370,מטרו,2,#,11370,"באר שבע","תל אביב יפו","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית תל אביב קומה 6/הורדה",106.6,6,34,217,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8171
371,מטרו,1,#,13371,"ראשון לציון","באר שבע","""ת. מרכזית רשל""""צ/רציפים"" - ת.מרכזית באר שבע/הורדה",103.7,65,8,47,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,11492
371,מטרו,1,1,13371,"קרית גת","באר שבע","צומת פלוגות למזרח - ת.מרכזית באר שבע/הורדה",55.8,31,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,11493
371,מטרו,2,#,13371,"באר שבע","ראשון לציון","ת.מרכזית באר שבע/רציפים בינעיר - ""ת. מרכזית ראשל""""צ""",102.2,64,10,57,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,11494
377,מטרו,1,#,10377,"ראשון לציון","באר שבע","""ת. מרכזית רשל""""צ/רציפים"" - ת.מרכזית באר שבע/הורדה",97.1,26,10,54,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10855
377,מטרו,2,#,10377,"באר שבע","ראשון לציון","ת.מרכזית באר שבע/רציפים בינעיר - ""ת. מרכזית ראשל""""צ""",94.9,26,10,57,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10856
380,מטרו,1,#,11380,"תל אביב יפו","באר שבע","ת. רכבת תל אביב- סבידור/רציפים - ת.מרכזית באר שבע/הורדה",109.2,5,'-,56,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8176
380,מטרו,2,#,11380,"באר שבע","תל אביב יפו","ת.מרכזית באר שבע/רציפים בינעיר - ת. רכבת תל אביב - סבידור/הורדה",109.1,5,'-,64,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8177
384,אגד,1,#,10384,"באר שבע",תמר,"ת.מרכזית באר שבע/רציפים בינעיר - בית ספר שדה",122.2,33,5,28,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,19746
384,אגד,2,#,10384,תמר,"באר שבע","בית ספר שדה - ת.מרכזית באר שבע/הורדה",123.0,33,5,28,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,19747
386,מטרו,1,#,12386,"באר שבע",ערד,"ת.מרכזית באר שבע/רציפים בינעיר - יהודה/תחנה מרכזית",47.7,15,19,98,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8179
386,מטרו,1,1,12386,"באר שבע",ערד,"ת.מרכזית באר שבע/רציפים בינעיר - מלון מצדה",58.7,40,2,10,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8180
386,מטרו,2,#,12386,ערד,"באר שבע","ת. מרכזית ערד/רציפים - ת.מרכזית באר שבע/הורדה",48.5,15,17,89,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8182
387,מטרו,1,#,12387,"באר שבע",ערד,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית ערד/רציפים",52.9,9,7,35,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20208
387,מטרו,2,#,12387,ערד,"באר שבע","ת. מרכזית ערד/רציפים - ת.מרכזית באר שבע/הורדה",52.3,11,4,20,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,16490
387,מטרו,2,1,12387,ערד,"באר שבע","ת. מרכזית ערד/רציפים - מכללה טכנולוגית חיל האוויר/דרך",56.6,20,4,20,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,29556
388,מטרו,1,#,10388,"באר שבע",ערד,"ת.מרכזית באר שבע/רציפים בינעיר - יהודה/תחנה מרכזית",45.8,27,31,179,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8185
388,מטרו,1,1,10388,"באר שבע",ערד,"ת.מרכזית באר שבע/רציפים בינעיר - מלון מצדה",58.3,53,14,78,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8186
388,מטרו,2,#,10388,ערד,"באר שבע","ת. מרכזית ערד/רציפים - ת.מרכזית באר שבע/הורדה",46.2,27,46,260,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8188
391,אגד,1,ב,10391,אשדוד,אילת,"ת. מרכזית אשדוד/רציפים - ת. מרכזית אילת/הורדה",328.2,42,2,10,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"אילת עירוני ובינעירוני",הדרום,24285
391,אגד,2,ם,10391,אילת,אשדוד,"ת. מרכזית אילת/רציפים - ת. מרכזית אשדוד",327.4,39,2,10,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"אילת עירוני ובינעירוני",הדרום,11152
392,אגד,1,1,10392,אילת,"באר שבע","ת. מרכזית אילת/רציפים - ת.מרכזית באר שבע/הורדה",304.2,61,'-,1,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,11890
392,אגד,1,7,10392,אילת,"באר שבע","ת. מרכזית אילת/רציפים - ת.מרכזית באר שבע/הורדה",291.4,62,4,20,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,16754
392,אגד,1,ך,10392,אילת,"באר שבע","ת. מרכזית אילת/רציפים - ת.מרכזית באר שבע/הורדה",287.3,61,3,22,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,7425
392,אגד,2,7,10392,"באר שבע",אילת,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית אילת/הורדה",290.9,62,2,9,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,16755
392,אגד,2,8,10392,"באר שבע",אילת,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית אילת/הורדה",300.2,60,'-,1,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,13748
392,אגד,2,9,10392,"באר שבע",אילת,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית אילת/הורדה",286.8,61,3,20,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,13749
393,אגד,1,#,10393,"תל אביב יפו",אילת,"ת.מרכזית תל אביב קומה 6/רציפים - ת. מרכזית אילת/הורדה",354.4,44,1,7,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,כן,"אילת עירוני ובינעירוני",הדרום,24060
393,אגד,1,א,10393,"תל אביב יפו",אילת,"ת.מרכזית תל אביב קומה 6/רציפים - ת. מרכזית אילת/הורדה",353.7,44,'-,4,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,כן,"אילת עירוני ובינעירוני",הדרום,7433
393,אגד,2,#,10393,אילת,"תל אביב יפו","ת. מרכזית אילת/רציפים - ת.מרכזית תל אביב קומה 6/הורדה",350.1,46,2,23,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,כן,"אילת עירוני ובינעירוני",הדרום,7444
393,אגד,2,ד,10393,אילת,"תל אביב יפו","ת. מרכזית אילת/רציפים - ת.מרכזית תל אביב קומה 6/הורדה",349.8,47,'-,1,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,כן,"אילת עירוני ובינעירוני",הדרום,19145
397,אגד,1,#,10397,"באר שבע",אילת,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית אילת/הורדה",250.8,36,10,75,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7459
397,אגד,2,#,10397,אילת,"באר שבע","ת. מרכזית אילת/רציפים - ת.מרכזית באר שבע/הורדה",251.7,35,5,40,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7462
397,אגד,2,ז,10397,אילת,"באר שבע","ת. מרכזית אילת/רציפים - ת.מרכזית באר שבע/הורדה",245.3,34,3,17,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,26532
440,תעבורה,1,#,10440,ירושלים,"באר שבע","ת. מרכזית ירושלים קומה 3/רציפי - ת.מרכזית באר שבע/הורדה",104.9,39,3,16,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,28878
440,תעבורה,2,#,10440,"באר שבע",ירושלים,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית ירושלים/הורדה",104.5,39,2,12,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,28879
446,אגד,1,#,10446,"באר שבע",ירושלים,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית ירושלים/הורדה",118.2,43,15,101,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,לא,"ירושלים-באר שבע","בין מחוזי",6995
446,אגד,3,#,10446,ירושלים,"באר שבע","ת. מרכזית ירושלים קומה 3/רציפי - ת.מרכזית באר שבע/הורדה",118.2,40,15,106,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,לא,"ירושלים-באר שבע","בין מחוזי",6998
450,גלים,1,0,13450,רהט,"באר שבע","חממות - ""שדרות נפתלי אימבר/קק""""ל""",24.7,30,37,204,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,כן,רהט,הדרום,243
450,גלים,2,0,13450,"באר שבע",רהט,"שדרות נפתלי הרץ אימבר/כפר דרום - חממות",25.2,27,41,223,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,כן,רהט,הדרום,245
451,גלים,1,0,12451,רהט,"באר שבע","חממות דרום - ""שדרות נפתלי אימבר/קק""""ל""",25.4,27,10,53,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,רהט,הדרום,247
451,גלים,2,0,12451,"באר שבע",רהט,"שדרות נפתלי הרץ אימבר/כפר דרום - חממות",27.4,29,10,53,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,רהט,הדרום,16727
452,גלים,1,0,12452,רהט,"באר שבע","צומת שובל - ""שדרות נפתלי אימבר/קק""""ל""",26.6,26,8,42,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,כן,רהט,הדרום,248
452,גלים,2,0,12452,"באר שבע",רהט,"שדרות נפתלי הרץ אימבר/כפר דרום - צומת שובל",27.1,27,8,42,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,כן,רהט,הדרום,19098
454,גלים,1,0,12454,רהט,"באר שבע","חממות - ""שדרות נפתלי אימבר/קק""""ל""",34.6,38,7,37,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,כן,רהט,הדרום,10224
454,גלים,2,0,12454,"באר שבע",רהט,"שדרות נפתלי הרץ אימבר/כפר דרום - חממות",35.0,34,7,37,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,כן,רהט,הדרום,10225
455,גלים,1,0,11455,רהט,"באר שבע","חממות - ""שדרות נפתלי אימבר/קק""""ל""",28.1,34,34,180,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,כן,רהט,הדרום,251
455,גלים,2,0,11455,"באר שבע",רהט,"שדרות נפתלי הרץ אימבר/כפר דרום - חממות",28.6,31,32,170,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,כן,רהט,הדרום,252
459,מטרו,1,#,12459,דימונה,"בית שמש","יצחק שדה/האצל - ת. רכבת בית שמש",133.0,58,'-,7,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11713
459,מטרו,2,#,12459,"בית שמש",דימונה,"ת. רכבת בית שמש - יצחק שדה/האצל",132.9,62,'-,7,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11715
464,"דן דרום",1,#,15464,אשקלון,"באר שבע","ת. מרכזית אשקלון/רציפים - ת.מרכזית באר שבע/הורדה",62.7,14,7,35,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16629
464,"דן דרום",2,#,15464,"באר שבע",אשקלון,"ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית אשקלון/הורדה",62.1,17,7,35,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16630
469,מטרו,1,#,12469,"תל אביב יפו","באר שבע","ת. רכבת תל אביב- סבידור/רציפים - ת.מרכזית באר שבע/הורדה",134.1,25,5,30,בין-עירוני,מהיר,לילה,"בין עירוני",לא,לא,הנגב,הדרום,13581
469,מטרו,2,#,12469,"באר שבע","תל אביב יפו","ת.מרכזית באר שבע/רציפים בינעיר - ת. רכבת תל אביב - סבידור/הורדה",136.2,28,6,35,בין-עירוני,מהיר,לילה,"בין עירוני",לא,לא,הנגב,הדרום,13582
470,אגד,1,#,10470,"באר שבע",ירושלים,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית ירושלים/הורדה",103.9,8,39,245,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,כן,"ירושלים-באר שבע","בין מחוזי",7005
470,אגד,1,ד,10470,דימונה,ירושלים,"שוק עירוני - ת. מרכזית ירושלים/הורדה",146.2,28,1,5,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,כן,"ירושלים-באר שבע","בין מחוזי",7007
470,אגד,3,#,10470,ירושלים,"באר שבע","ת. מרכזית ירושלים קומה 3/רציפי - ת.מרכזית באר שבע/הורדה",104.8,7,39,235,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,כן,"ירושלים-באר שבע","בין מחוזי",7008
470,אגד,3,ם,10470,"מעלה אדומים","באר שבע","תלמוד תורה/דרך קדם - ת.מרכזית באר שבע/הורדה",130.0,52,'-,2,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,כן,"ירושלים-באר שבע","בין מחוזי",7015
471,גלים,1,0,15471,רהט,"באר שבע","חממות - ""שדרות נפתלי אימבר/קק""""ל""",27.1,29,2,12,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,רהט,הדרום,27913
471,גלים,2,0,15471,"באר שבע",רהט,"שדרות נפתלי הרץ אימבר/כפר דרום - חממות",27.4,26,4,21,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,רהט,הדרום,27914
570,מטרו,1,#,11570,"בני ברק","באר שבע","קניון איילון - ת.מרכזית באר שבע/הורדה",114.7,16,'-,2,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,כן,הנגב,הדרום,34109
570,מטרו,2,#,11570,"באר שבע","בני ברק","ת.מרכזית באר שבע/רציפים בינעיר - קניון איילון",114.5,17,'-,2,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,כן,הנגב,הדרום,34126
669,מטרו,1,#,11669,רעננה,"באר שבע","מסוף רעננה - ת.מרכזית באר שבע/הורדה",120.8,14,13,81,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,11706
669,מטרו,2,#,11669,"באר שבע",רעננה,"ת.מרכזית באר שבע/רציפים בינעיר - מסוף רעננה",121.0,14,13,82,בין-עירוני,מהיר,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,11707
687,מטרו,1,#,10687,"שגב שלום","באר טוביה","שכונה 4 - מכללת אחוה",71.7,15,3,16,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11712
687,מטרו,2,#,10687,"באר טוביה","שגב שלום","מכללת אחוה - מרכז מסחרי",71.2,14,3,16,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,21701
794,אגד,1,#,15794,"תל אביב יפו",אילת,"ת. רכבת תל אביב- סבידור/רציפים - ת. מרכזית אילת/הורדה",356.3,40,1,6,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"אילת עירוני ובינעירוני",הדרום,26583
794,אגד,2,#,15794,אילת,"תל אביב יפו","ת. מרכזית אילת/רציפים - ת. רכבת תל אביב - סבידור/הורדה",356.4,41,1,6,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"אילת עירוני ובינעירוני",הדרום,26584
870,אגד,1,#,10870,"באר שבע",עפולה,"ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית עפולה/הורדה",180.9,11,5,51,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,"תל אביב-גליל עמקים","בין מחוזי",7180
870,אגד,2,#,10870,עפולה,"באר שבע","ת.מרכזית עפולה/רציפים - ת.מרכזית באר שבע/הורדה",180.4,9,5,50,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,"תל אביב-גליל עמקים","בין מחוזי",7181
880,אגד,2,#,10880,טבריה,"באר שבע","ת. מרכזית טבריה/רציפים - ת.מרכזית באר שבע/הורדה",223.2,17,'-,1,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"תל אביב-גליל עמקים","בין מחוזי",10777
958,אגד,1,#,10958,"באר שבע",כרמיאל,"ת.מרכזית באר שבע/רציפים בינעיר - ת. מרכזית כרמיאל/הורדה",220.8,30,'-,1,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,כן,חיפה-ירושלים-אילת,"בין מחוזי",10130
958,אגד,2,#,10958,כרמיאל,"באר שבע","ת. מרכזית כרמיאל/רציפים - ת.מרכזית באר שבע/הורדה",222.1,32,'-,2,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,כן,חיפה-ירושלים-אילת,"בין מחוזי",10131
