קו,מפעיל,כיוון,חלופה,מקט,מוצא,יעד,תאור,אורך,"מספר תחנות","יציאות ביום ג","יציאות שבועיות",סוג,שרות,יחודיות,"סוג אוטובוס",שבת,נגיש,אשכול,מחוז,"מספר חלופה"
26,מטרו,2,#,20026,אשכולות,"באר שבע","אשכולות/מזכירות - ת.מרכזית באר שבע/הורדה",48.1,35,6,33,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,7953
27,"דן באר שבע",1,0,45027,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - מכללה טכנולוגית חיל האוויר/דרך",6.4,17,28,167,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,27981
27,"דן באר שבע",1,1,45027,"באר שבע","באר שבע","הברזל/החורש - מכללה טכנולוגית חיל האוויר/דרך",12.1,31,19,95,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,27982
27,"דן באר שבע",2,0,45027,"באר שבע","באר שבע","מכללה טכנולוגית חיל האוויר/דרך - ת.מרכזית/עירוניים לצפון",6.8,19,30,178,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,27983
27,"דן באר שבע",2,1,45027,"באר שבע","באר שבע","מכללה טכנולוגית חיל האוויר/דרך - הברזל/הזורע",12.4,31,19,95,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,27984
28,מטרו,2,#,22028,מיתר,"באר שבע","צומת מיתר - ת.מרכזית באר שבע/הורדה",27.3,37,2,11,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,7970
28,מטרו,3,#,22028,"באר שבע","באר שבע","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית באר שבע/הורדה",45.3,54,13,78,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,7975
28,מטרו,3,4,22028,"באר שבע","באר שבע","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית באר שבע/הורדה",48.1,55,6,30,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,13444
29,"דן באר שבע",1,0,42029,"באר שבע","באר שבע","מסוף חצרים - מרכז ביג/המשק",10.7,24,52,290,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,29678
29,"דן באר שבע",2,0,42029,"באר שבע","באר שבע","מרכז ביג/המשק - מסוף חצרים",10.7,27,50,278,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,29679
30,מטרו,1,#,21030,"באר שבע",לקיה,"ת.מרכזית באר שבע/רציפים בינעיר - בית הקשתות",22.7,24,21,116,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8212
30,מטרו,1,1,21030,"באר שבע",לקיה,"הברזל/החורש - בית הקשתות",27.6,35,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20235
30,מטרו,1,2,21030,"באר שבע",לקיה,"ת.מרכזית באר שבע/רציפים בינעיר - בית הקשתות",24.6,29,8,40,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,25702
